dog_breed,dog_age,vaccinated,grooming,rabies,fever,lethargy,behavior_change,aggression,excessive_drooling,difficulty_swallowing,seizures,staggering_gait,hind_leg_paralysis,jaw_dropped
Golden Retriever,7,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no
Stray,9,no,no,yes,no,yes,no,no,no,no,no,no,no,no
Rottweiler,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,13,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no
Stray,7,no,no,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
Chihuahua,8,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
Beagle,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,7,no,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,2,yes,no,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,4,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes
Rottweiler,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,11,yes,no,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,5,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no
Siberian Husky,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,12,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
Pomeranian,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,13,yes,no,no,no,no,no,no,no,no,no,no,no,no
Poodle,9,no,no,no,no,no,no,no,no,no,no,no,no,no
Bulldog,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
Stray,12,no,no,yes,yes,no,yes,no,no,no,no,no,no,no
Bulldog,1,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no
French Bulldog,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,7,no,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Beagle,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,12,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no
Bulldog,10,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
Chihuahua,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,12,yes,no,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,15,yes,no,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,2,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Great Dane,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,6,no,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,2,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no
Shih Tzu,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,1,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no
Shih Tzu,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,1,no,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,3,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,no
Australian Shepherd,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,12,yes,no,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,11,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,13,yes,no,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,2,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,4,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes
Bulldog,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Bulldog,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,15,yes,no,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,12,yes,no,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
Stray,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,14,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes
Chihuahua,15,yes,no,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,12,yes,no,no,no,no,no,no,no,no,no,no,no,no
Dachshund,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,9,no,yes,yes,no,yes,no,no,no,no,no,no,no,no
Labrador Retriever,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,11,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no
Great Dane,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
Beagle,2,yes,no,no,no,no,no,no,no,no,no,no,no,no
Boxer,8,no,no,no,no,no,no,no,no,no,no,no,no,no
Beagle,8,yes,no,no,no,no,no,no,no,no,no,no,no,no
Dachshund,1,yes,no,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,6,yes,no,no,no,no,no,no,no,no,no,no,no,no
Poodle,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,12,yes,no,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,7,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no
Rottweiler,8,yes,no,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,9,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,no
Doberman Pinscher,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,15,yes,no,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,4,yes,no,no,no,no,no,no,no,no,no,no,no,no
Poodle,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,4,yes,no,no,no,no,no,no,no,no,no,no,no,no
Dachshund,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,9,no,no,no,no,no,no,no,no,no,no,no,no,no
Stray,12,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Rottweiler,13,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes
Labrador Retriever,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,5,yes,no,no,no,no,no,no,no,no,no,no,no,no
Poodle,13,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no
Great Dane,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,13,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no
Shih Tzu,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,2,yes,no,no,no,no,no,no,no,no,no,no,no,no
Stray,15,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
Golden Retriever,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,6,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,12,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no
Mixed Breed,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,1,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,11,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,1,yes,no,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,13,yes,no,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,5,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
Stray,10,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no
Australian Shepherd,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,15,yes,no,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,13,yes,no,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,15,yes,no,no,no,no,no,no,no,no,no,no,no,no
Great Dane,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,5,yes,no,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,5,yes,no,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,11,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no
Rottweiler,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,12,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
Dachshund,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
Boxer,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,14,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Golden Retriever,13,yes,no,no,no,no,no,no,no,no,no,no,no,no
Stray,1,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no
Labrador Retriever,5,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no
Stray,10,no,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,no
Shih Tzu,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
Chihuahua,4,yes,no,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,6,yes,no,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,12,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,no
Bulldog,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,9,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no
Bulldog,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Dachshund,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,10,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
German Shepherd,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,8,yes,no,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Bulldog,13,yes,no,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Great Dane,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,11,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no
Siberian Husky,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,1,yes,no,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,9,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
German Shepherd,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
